
************************************************************
Session started: 2026-05-15 12:01:40.140119
************************************************************
[MEDIUM] 05/15-12:02:07.999135 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.004076 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.005058 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.009326 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.010350 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.011301 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.016051 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.016796 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.023118 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[CRITICAL] 05/15-12:02:08.023977 | TCP SYN flood detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.023977 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.024832 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.028537 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.029234 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.032896 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.033715 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.034435 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.038220 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.038933 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[MEDIUM] 05/15-12:02:08.044447 | NMAP SYN scan detected | 192.168.243.10 -> 192.168.243.20
[CRITICAL] 05/15-12:02:08.045463 | TCP SYN flood detected | 192.168.243.10 -> 192.168.243.20
